﻿﻿key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR,id-ID
label_stable_version,Stable,安定版,안정 버전,稳定版,Estable,Stabil,Stable,Stabil
label_buggy_version,Buggy,バグの多い版,버그 버전,问题版,Defectuosa,Fehlerhaft,Instable,Bermasalah
label_beta_version,Beta,ベータ版,베타 버전,测试版,Beta,Beta,Bêta,Beta
label_latest_version,Latest '{0}' version:,最新の「{0}」バージョン:,최신 '{0}' 버전:,最新“{0}”版本：,Última versión de '{0}':,Neueste '{0}'-Version:,Dernière version « {0} » :,Versi '{0}' terbaru:
label_your_version,Your '{0}' version:,あなたの「{0}」バージョン:,현재 '{0}' 버전:,你的“{0}”版本：,Tu versión de '{0}':,Ihre '{0}'-Version:,Votre version « {0} » :,Versi '{0}' Anda:
label_made_by,made by,制作:,제작:,制作：,hecho por,hergestellt von,fabriqué par,dibuat oleh
log_request_sender_load_image_error,Failed to load image: {0}.,画像を読み込めませんでした: {0}。,이미지를 불러오지 못했습니다: {0}.,无法加载图像：{0}。,No se pudo cargar la imagen: {0}.,Bild konnte nicht geladen werden: {0}.,Impossible de charger l’image : {0}.,Gagal memuat gambar: {0}.
log_request_sender_get_error,RequestSender.Get error: {0}.,RequestSender.Get エラー: {0}。,RequestSender.Get 오류: {0}.,RequestSender.Get 错误：{0}。,Error de RequestSender.Get: {0}.,RequestSender.Get-Fehler: {0}.,Erreur RequestSender.Get : {0}.,RequestSender.Get error: {0}.
log_request_sender_post_error,{0} error: {1}.,{0} のエラー: {1}。,{0} 오류: {1}.,{0} 错误：{1}。,Error en {0}: {1}.,{0}-Fehler: {1}.,Erreur {0} : {1}.,{0} error: {1}.
log_openai_request_started,{0} | Sending request to OpenAI API with model '{1}' and prompt: {2}.,{0} | モデル「{1}」とプロンプト {2} で OpenAI API にリクエストを送信しています。,{0} | 모델 '{1}'와 프롬프트 {2}로 OpenAI API에 요청을 보내는 중입니다.,{0} | 使用模型“{1}”和提示 {2} 向 OpenAI API 发送请求。,{0} | Enviando solicitud a la API de OpenAI con el modelo '{1}' y el prompt {2}.,{0} | Anfrage an die OpenAI-API mit Modell „{1}“ und Prompt {2} wird gesendet.,{0} | Envoi d’une requête à l’API OpenAI avec le modèle « {1} » et le prompt {2}.,{0} | Mengirim permintaan ke OpenAI API dengan model '{1}' dan prompt: {2}.
log_openai_empty_response,{0} | Received an empty response.,{0} | 空のレスポンスを受信しました。,{0} | 빈 응답을 받았습니다.,{0} | 收到空响应。,{0} | Se recibió una respuesta vacía.,{0} | Leere Antwort empfangen.,{0} | Réponse vide reçue.,{0} | Menerima respons kosong.
log_openai_invalid_response,{0} | Invalid response structure.,{0} | レスポンスの形式が正しくありません。,{0} | 응답 구조가 올바르지 않습니다.,{0} | 响应结构无效。,{0} | La estructura de la respuesta no es válida.,{0} | Ungültige Antwortstruktur.,{0} | Structure de réponse non valide.,{0} | Struktur respons tidak valid.
log_initial_language_set,[{0}] Initial language set to '{1}'.,[{0}] 初期言語を「{1}」に設定しました。,[{0}] 초기 언어가 '{1}'로 설정되었습니다.,[{0}] 初始语言设置为“{1}”。,[{0}] Idioma inicial establecido en '{1}'.,[{0}] Anfangssprache auf „{1}“ gesetzt.,[{0}] Langue initiale définie sur « {1} ».,[{0}] Bahasa awal disetel ke '{1}'.
log_localization_format_error,Format error in localization key '{0}' for language '{1}'. Returning unformatted text: {2}.,言語「{1}」のローカライズキー「{0}」で書式エラーが発生しました。未整形のテキスト {2} を返します。,언어 '{1}'의 로컬라이즈 키 '{0}'에서 서식 오류가 발생했습니다. 서식되지 않은 텍스트 {2}를 반환합니다.,语言“{1}”的本地化键“{0}”存在格式错误。返回未格式化的文本：{2}。,Error de formato en la clave '{0}' para el idioma '{1}'. Se devuelve el texto sin formato: {2}.,Formatfehler im Lokalisierungsschlüssel „{0}“ für Sprache „{1}“. Unformatierter Text {2} wird zurückgegeben.,Erreur de format pour la clé « {0} » en langue « {1} ». Renvoi du texte non formaté : {2}.,Kesalahan format pada kunci lokalisasi '{0}' untuk bahasa '{1}'. Mengembalikan teks tanpa format: {2}.
log_scene_backup_created,A backup of your scene is created at the path:\n{0},シーンのバックアップを次のパスに作成しました:\n{0},다음 경로에 씬 백업이 생성되었습니다:\n{0},已在以下路径创建场景备份：\n{0},Se creó una copia de seguridad de la escena en la ruta:\n{0},Ein Backup Ihrer Szene wurde unter folgendem Pfad erstellt:\n{0},Une sauvegarde de la scène a été créée à l’emplacement :\n{0},Cadangan scene dibuat di path:\n{0}
log_scene_backup_failed,Error creating scene backup:\n{0},シーンのバックアップ作成中にエラー:\n{0},씬 백업 생성 중 오류:\n{0},创建场景备份时出错：\n{0},Error al crear la copia de seguridad de la escena:\n{0},Fehler beim Erstellen der Szenensicherung:\n{0},Erreur lors de la création de la sauvegarde de scène :\n{0},Kesalahan saat membuat cadangan scene:\n{0}
log_cant_execute_no_backup,Unable to execute because no backup was created.,バックアップが作成されていないため実行できません。,백업이 생성되지 않아 실행할 수 없습니다.,由于未创建备份，无法执行。,No se puede ejecutar porque no se creó ninguna copia de seguridad.,"Ausführung nicht möglich, da kein Backup erstellt wurde.",Exécution impossible car aucune sauvegarde n’a été créée.,Tidak dapat dijalankan karena tidak ada cadangan yang dibuat.
log_selection_null,Selection.activeGameObject is null.,Selection.activeGameObject が null です。,Selection.activeGameObject 가 null입니다.,Selection.activeGameObject 为空。,Selection.activeGameObject es nulo.,Selection.activeGameObject ist null.,Selection.activeGameObject est nul.,Selection.activeGameObject adalah null.
log_object_not_selected,'{0}' not selected in hierarchy.,「{0}」がヒエラルキーで選択されていません。,'{0}' 이(가) 계층에서 선택되지 않았습니다.,“{0}” 未在层级视图中选中。,'{0}' no está seleccionado en la jerarquía.,„{0}“ ist in der Hierarchie nicht ausgewählt.,« {0} » n’est pas sélectionné dans la hiérarchie.,'{0}' tidak dipilih di hierarki.
log_prefab_reset,{0} has been reset to a prefab state.,{0} はプレハブの状態にリセットされました。,{0}이(가) 프리팹 상태로 재설정되었습니다.,{0} 已重置为预制件状态。,{0} se ha restablecido a su estado de prefab.,{0} wurde auf den Prefab-Zustand zurückgesetzt.,{0} a été réinitialisé à l’état de prefab.,{0} telah direset ke status prefab.
log_no_components,No components in '{0}'.,「{0}」にはコンポーネントがありません。,'{0}'에는 컴포넌트가 없습니다.,“{0}” 中没有任何组件。,No hay componentes en '{0}'.,In „{0}“ befinden sich keine Komponenten.,Il n’y a aucun composant dans « {0} ».,Tidak ada komponen di '{0}'.
log_properties_reset,{0} properties reset.,{0} 個のプロパティをリセットしました。,{0}개의 속성이 재설정되었습니다.,{0} 个属性已重置。,{0} propiedades restablecidas.,{0} Eigenschaften zurückgesetzt.,{0} propriétés réinitialisées.,{0} properti direset.
log_canvas_children_destroyed,Destroyed {0} child objects.,{0} 個の子オブジェクトを削除しました。,{0}개의 자식 오브젝트를 삭제했습니다.,已删除 {0} 个子对象。,Se eliminaron {0} objetos hijo.,{0} Kindobjekte entfernt.,{0} objets enfants ont été supprimés.,{0} objek anak dihapus.
log_gameobject_is_null,gameObject is null.,gameObject が null です。,gameObject 가 null입니다.,gameObject 为 null。,gameObject es nulo.,gameObject ist null.,gameObject est nul.,gameObject adalah null.
log_select_folder_inside_assets,Please select a folder inside the project's Assets directory.,プロジェクトの Assets フォルダー内のフォルダーを選択してください。,프로젝트 Assets 폴더 내부의 폴더를 선택하세요.,请选择项目 Assets 目录中的文件夹。,Selecciona una carpeta dentro del directorio Assets del proyecto.,Bitte wählen Sie einen Ordner innerhalb des Assets-Verzeichnisses des Projekts.,Veuillez sélectionner un dossier à l’intérieur du répertoire Assets du projet.,Pilih folder di dalam direktori Assets proyek.
log_sprites_removed,{0} sprites removed.,{0} 個のスプライトを削除しました。,{0}개의 스프라이트가 제거되었습니다.,已删除 {0} 个精灵。,Se eliminaron {0} sprites.,{0} Sprites wurden entfernt.,{0} sprites ont été supprimés.,{0} sprite dihapus.
log_sprite_provider_not_found,Failed to get ISpriteEditorDataProvider.,ISpriteEditorDataProvider を取得できませんでした。,ISpriteEditorDataProvider를 가져오지 못했습니다.,无法获取 ISpriteEditorDataProvider。,No se pudo obtener ISpriteEditorDataProvider.,ISpriteEditorDataProvider konnte nicht abgerufen werden.,Impossible d’obtenir ISpriteEditorDataProvider.,Gagal mendapatkan ISpriteEditorDataProvider.
log_sprite_border_updated,Updated border to: {0}.,ボーダーを {0} に更新しました。,테두리를 {0}로 업데이트했습니다.,已将边框更新为 {0}。,Borde actualizado a {0}.,Rand auf {0} aktualisiert.,Bordure mise à jour sur {0}.,Border diperbarui menjadi: {0}.
log_sprite_reimport_success,Asset reimported successfully.,アセットの再インポートに成功しました。,에셋을 다시 가져오는 데 성공했습니다.,资源重新导入成功。,El asset se volvió a importar correctamente.,Asset erfolgreich erneut importiert.,L’actif a été réimporté avec succès.,Aset berhasil diimpor ulang.
log_sprite_reimport_failed,Failed to reimport the asset.,アセットの再インポートに失敗しました。,에셋을 다시 가져오지 못했습니다.,未能重新导入该资源。,No se pudo volver a importar el asset.,Asset konnte nicht erneut importiert werden.,Échec de la réimportation de l’actif.,Gagal mengimpor ulang aset.
log_scenehierarchy_method_missing,"Could not find method 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'.","メソッド 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)' が見つかりません。","'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)' 메서드를 찾을 수 없습니다.","找不到方法 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'。","No se encontró el método 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'.","Methode 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)' wurde nicht gefunden.","Impossible de trouver la méthode 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'.","Tidak dapat menemukan metode 'UnityEditor.SceneHierarchyWindow.SetExpandedRecursive(int, bool)'."
log_scenehierarchy_field_missing,Could not find field 'int UnityEngine.SceneManagement.Scene.m_Handle'.,フィールド 'int UnityEngine.SceneManagement.Scene.m_Handle' が見つかりません。,필드 'int UnityEngine.SceneManagement.Scene.m_Handle'을 찾을 수 없습니다.,找不到字段 'int UnityEngine.SceneManagement.Scene.m_Handle'。,No se encontró el campo 'int UnityEngine.SceneManagement.Scene.m_Handle'.,Feld 'int UnityEngine.SceneManagement.Scene.m_Handle' wurde nicht gefunden.,Impossible de trouver le champ 'int UnityEngine.SceneManagement.Scene.m_Handle'.,Tidak dapat menemukan field 'int UnityEngine.SceneManagement.Scene.m_Handle'.
log_urihelpers_type_not_found,Failed to find the type URIHelpers. Ensure that you are using this code within the Unity Editor.,URIHelpers 型を見つけられませんでした。Unity Editor 内でこのコードを使用していることを確認してください。,URIHelpers 타입을 찾을 수 없습니다. Unity 에디터 내에서 이 코드를 사용하고 있는지 확인하세요.,无法找到 URIHelpers 类型。请确认在 Unity 编辑器中使用此代码。,No se pudo encontrar el tipo URIHelpers. Asegúrate de usar este código dentro del editor de Unity.,"URIHelpers-Typ wurde nicht gefunden. Stellen Sie sicher, dass Sie diesen Code im Unity-Editor verwenden.",Impossible de trouver le type URIHelpers. Assurez-vous d’utiliser ce code dans l’éditeur Unity.,Gagal menemukan tipe URIHelpers. Pastikan Anda menggunakan kode ini di dalam Unity Editor.
log_makeasseturi_method_missing,Failed to find the method MakeAssetUri. Check if the method is accessible.,MakeAssetUri メソッドを見つけられませんでした。アクセス可能か確認してください。,MakeAssetUri 메서드를 찾을 수 없습니다. 접근 가능한지 확인하세요.,未找到 MakeAssetUri 方法。请检查其可访问性。,No se encontró el método MakeAssetUri. Comprueba que sea accesible.,"Methode MakeAssetUri wurde nicht gefunden. Prüfen Sie, ob sie zugänglich ist.",Impossible de trouver la méthode MakeAssetUri. Vérifiez qu’elle est accessible.,Gagal menemukan metode MakeAssetUri. Periksa apakah metode dapat diakses.
log_null_datatable,<null DataTable>,〈null DataTable〉,<null DataTable>,<null DataTable>,<null DataTable>,<null DataTable>,<null DataTable>,<null DataTable>
log_unknown_group_type,Unknown group type.,不明なグループ種別です。,알 수 없는 그룹 유형입니다.,未知的组类型。,Tipo de grupo desconocido.,Unbekannter Gruppentyp.,Type de groupe inconnu.,Tipe grup tidak dikenal.
log_update_checker_parse_failed,Failed to parse web config: {0}.,Web 設定の解析に失敗しました: {0}。,웹 구성 파싱에 실패했습니다: {0}.,解析 Web 配置失败：{0}。,Error al analizar la configuración web: {0}.,Web-Konfiguration konnte nicht analysiert werden: {0}.,Échec de l’analyse de la configuration Web : {0}.,Gagal mem-parse konfigurasi web: {0}.
log_update_checker_load_failed,Failed to load web config: {0}.,Web 設定の読み込みに失敗しました: {0}。,웹 구성을 불러오지 못했습니다: {0}.,加载 Web 配置失败：{0}。,Error al cargar la configuración web: {0}.,Web-Konfiguration konnte nicht geladen werden: {0}.,Échec du chargement de la configuration Web : {0}.,Gagal memuat konfigurasi web: {0}.
label_help,Help,ヘルプ,도움말,帮助,Ayuda,Hilfe,Aide,Bantuan
text_close,Close,閉じる,닫기,关闭,Cerrar,Schließen,Fermer,Tutup
label_ok,OK,OK,확인,确定,Aceptar,OK,OK,OK
label_mcp_server_manager_title,MCP Server Manager,MCP サーバーマネージャー,MCP 서버 관리자,MCP 服务器管理器,Administrador de servidores MCP,MCP-Server-Manager,Gestionnaire de serveurs MCP,Manajer Server MCP
label_mcp_no_servers_found,No MCP servers found in Resources/MCP/,Resources/MCP/ に MCP サーバーが見つかりません,Resources/MCP/에서 MCP 서버를 찾을 수 없습니다,在 Resources/MCP/ 中未找到 MCP 服务器,No se encontraron servidores MCP en Resources/MCP/,Keine MCP-Server in Resources/MCP/ gefunden,Aucun serveur MCP trouvé dans Resources/MCP/,Tidak ada server MCP ditemukan di Resources/MCP/
label_mcp_supported_agents,Supported Agents,サポートされているエージェント,지원되는 에이전트,受支持的代理,Agentes compatibles,Unterstützte Agenten,Agents pris en charge,Agen yang Didukung
label_mcp_connection_details,Connection Details,接続の詳細,연결 세부 정보,连接详情,Detalles de conexión,Verbindungsdetails,Détails de connexion,Detail Koneksi
label_mcp_protocol,MCP Protocol,MCP プロトコル,MCP 프로토콜,MCP 协议,Protocolo MCP,MCP-Protokoll,Protocole MCP,Protokol MCP
label_mcp_tools,MCP Tools,MCP ツール,MCP 도구,MCP 工具,Herramientas MCP,MCP-Tools,Outils MCP,Alat MCP
label_mcp_enabled,enabled,有効,활성화됨,已启用,habilitado,aktiviert,activé,aktif
label_mcp_disabled,disabled,無効,비활성화됨,已禁用,deshabilitado,deaktiviert,désactivé,nonaktif
label_mcp_open_config,open config,設定を開く,구성 열기,打开配置,abrir configuración,Konfiguration öffnen,ouvrir la configuration,buka konfigurasi
label_mcp_open_folder,open folder,フォルダーを開く,폴더 열기,打开文件夹,abrir carpeta,Ordner öffnen,ouvrir le dossier,buka folder
label_mcp_config_not_found_title,Config not found,設定が見つかりません,구성을 찾을 수 없습니다,未找到配置,Configuración no encontrada,Konfiguration nicht gefunden,Configuration introuvable,Konfigurasi tidak ditemukan
label_mcp_folder_not_found_title,Folder not found,フォルダーが見つかりません,폴더를 찾을 수 없습니다,未找到文件夹,Carpeta no encontrada,Ordner nicht gefunden,Dossier introuvable,Folder tidak ditemukan
label_mcp_refresh,Refresh,更新,새로 고침,刷新,Actualizar,Aktualisieren,Actualiser,Segarkan
label_mcp_stop_all,Stop All,すべて停止,모두 중지,全部停止,Detener todo,Alle stoppen,Tout arrêter,Hentikan Semua
label_mcp_start,Start,開始,시작,启动,Iniciar,Starten,Démarrer,Mulai
label_mcp_stop,Stop,停止,중지,停止,Detener,Stoppen,Arrêter,Hentikan
tooltip_mcp_toggle_integration,Toggle {0} integration.,{0} の統合を切り替えます。,{0} 통합을 전환합니다.,切换 {0} 集成。,Alternar la integración de {0}.,{0}-Integration umschalten.,Basculer l’intégration {0}.,Alihkan integrasi {0}.
tooltip_mcp_open_config_file,Open {0} config file.,{0} の設定ファイルを開きます。,{0} 구성 파일을 엽니다.,打开 {0} 配置文件。,Abrir el archivo de configuración de {0}.,{0}-Konfigurationsdatei öffnen.,Ouvrir le fichier de configuration de {0}.,Buka file konfigurasi {0}.
tooltip_mcp_open_config_folder,Open {0} config folder.,{0} の設定フォルダーを開きます。,{0} 구성 폴더를 엽니다.,打开 {0} 配置文件夹。,Abrir la carpeta de configuración de {0}.,{0}-Konfigurationsordner öffnen.,Ouvrir le dossier de configuration de {0}.,Buka folder konfigurasi {0}.
helpbox_mcp_ide_settings_warning,"Changing these settings will modify local Agent configuration files.
Config backups will be created automatically with each change.","これらの設定を変更すると、ローカルのエージェント設定ファイルが更新されます。
変更のたびに設定のバックアップが自動的に作成されます。","이 설정을 변경하면 로컬 에이전트 구성 파일이 수정됩니다.
각 변경 시 구성 백업이 자동으로 생성됩니다。","更改这些设置将修改本地代理配置文件。
每次更改都会自动创建配置备份。","Cambiar estos ajustes modificará los archivos de configuración local del agente.
Se crearán copias de seguridad de la configuración automáticamente con cada cambio.","Das Ändern dieser Einstellungen ändert die lokale Agent-Konfigurationsdatei.
Bei jeder Änderung werden automatisch Konfigurations-Backups erstellt.","Modifier ces paramètres changera les fichiers de configuration local de l'agent.
Des sauvegardes de configuration seront créées automatiquement à chaque modification.","Mengubah pengaturan ini akan memodifikasi file konfigurasi Agen lokal.
Cadangan konfigurasi akan dibuat secara otomatis setiap kali ada perubahan."
helpbox_mcp_agent_settings_warning,"Changing these settings will modify local Agent configuration files.
Config backups will be created automatically with each change.","これらの設定を変更すると、ローカルのエージェント設定ファイルが更新されます。
変更のたびに設定のバックアップが自動的に作成されます。","이 설정을 변경하면 로컬 에이전트 구성 파일이 수정됩니다.
각 변경 시 구성 백업이 자동으로 생성됩니다。","更改这些设置将修改本地代理配置文件。
每次更改都会自动创建配置备份。","Cambiar estos ajustes modificará los archivos de configuración local del agente.
Se crearán copias de seguridad de la configuración automáticamente con cada cambio.","Das Ändern dieser Einstellungen ändert die lokale Agent-Konfigurationsdatei.
Bei jeder Änderung werden automatisch Konfigurations-Backups erstellt.","Modifier ces paramètres changera les fichiers de configuration local de l'agent.
Des sauvegardes de configuration seront créées automatiquement à chaque modification.","Mengubah pengaturan ini akan memodifikasi file konfigurasi Agen lokal.
Cadangan konfigurasi akan dibuat secara otomatis setiap kali ada perubahan."
message_mcp_config_file_not_found,Config file was not found:\n{0},設定ファイルが見つかりませんでした:\n{0},구성 파일을 찾을 수 없습니다:\n{0},未找到配置文件：\n{0},No se encontró el archivo de configuración:\n{0},Konfigurationsdatei nicht gefunden:\n{0},Fichier de configuration introuvable :\n{0},File konfigurasi tidak ditemukan:\n{0}
message_mcp_config_folder_not_found,Config folder was not found:\n{0},設定フォルダーが見つかりませんでした:\n{0},구성 폴더를 찾을 수 없습니다:\n{0},未找到配置文件夹：\n{0},No se encontró la carpeta de configuración:\n{0},Konfigurationsordner nicht gefunden:\n{0},Dossier de configuration introuvable :\n{0},Folder konfigurasi tidak ditemukan:\n{0}
log_mcp_failed_update,[{0}] Failed to update {1}: {2},[{0}] {1} の更新に失敗しました: {2},[{0}] {1} 업데이트 실패: {2},[{0}] 更新 {1} 失败：{2},[{0}] Error al actualizar {1}: {2},[{0}] {1} konnte nicht aktualisiert werden: {2},[{0}] Échec de la mise à jour de {1} : {2},[{0}] Gagal memperbarui {1}: {2}
log_mcp_updated_config,[{0}] Updated {1} config for '{2}',[{0}] 「{2}」用の {1} 設定を更新しました,[{0}] '{2}'용 {1} 구성 업데이트됨,[{0}] 已更新“{2}”的 {1} 配置,[{0}] Se actualizó la configuración {1} para '{2}',[{0}] {1}-Konfiguration für '{2}' aktualisiert,[{0}] Configuration {1} mise à jour pour '{2}',[{0}] Memperbarui konfigurasi {1} untuk '{2}'
log_mcp_started,[{0}] Started: {1} on {2},[{0}] 開始しました: {1}（{2}）,[{0}] 시작됨: {1} ({2}),[{0}] 已启动：{1}（{2}）,[{0}] Iniciado: {1} en {2},[{0}] Gestartet: {1} auf {2},[{0}] Démarré : {1} sur {2},[{0}] Dimulai: {1} di {2}
log_mcp_stopped,[{0}] Stopped: {1},[{0}] 停止しました: {1},[{0}] 중지됨: {1},[{0}] 已停止：{1},[{0}] Detenido: {1},[{0}] Gestoppt: {1},[{0}] Arrêté : {1},[{0}] Dihentikan: {1}
log_mcp_request,[{0}] Request: {1},[{0}] リクエスト: {1},[{0}] 요청: {1},[{0}] 请求：{1},[{0}] Solicitud: {1},[{0}] Anfrage: {1},[{0}] Requête : {1},[{0}] Permintaan: {1}
log_mcp_response,[{0}] Response: {1},[{0}] レスポンス: {1},[{0}] 응답: {1},[{0}] 响应：{1},[{0}] Respuesta: {1},[{0}] Antwort: {1},[{0}] Réponse : {1},[{0}] Respons: {1}
log_mcp_server_owner_null,"[{0}] Server or owner is null, cannot register tools.",[{0}] サーバーまたはオーナーが null のため、ツールを登録できません。,[{0}] 서버 또는 소유자가 null입니다. 도구를 등록할 수 없습니다.,[{0}] 服务器或所有者为 null，无法注册工具。,[{0}] El servidor o el propietario es null; no se pueden registrar herramientas.,"[{0}] Server oder Owner ist null, Tools können nicht registriert werden.","[{0}] Le serveur ou le propriétaire est null, impossible d’enregistrer les outils.","[{0}] Server atau pemilik adalah null, tidak dapat mendaftarkan alat."
log_mcp_skip_null_tool,[{0}] Skipping null tool in {1},[{0}] {1} 内の null ツールをスキップします,[{0}] {1}에서 null 도구를 건너뜁니다,[{0}] 跳过 {1} 中的 null 工具,[{0}] Omitiendo herramienta null en {1},[{0}] Null-Tool in {1} wird übersprungen,[{0}] Outil null ignoré dans {1},[{0}] Melewati alat null di {1}
log_mcp_create_tool_failed,[{0}] Failed to create tool from {1}: {2},[{0}] {1} からツールを作成できませんでした: {2},[{0}] {1}에서 도구를 생성하지 못했습니다: {2},[{0}] 无法从 {1} 创建工具：{2},[{0}] Error al crear la herramienta desde {1}: {2},[{0}] Tool konnte aus {1} nicht erstellt werden: {2},[{0}] Échec de la création de l’outil depuis {1} : {2},[{0}] Gagal membuat alat dari {1}: {2}
log_mcp_registered_tools,[{0}] Registered {1} tools for {2},[{0}] {2} 用に {1} 個のツールを登録しました,[{0}] {2}에 대해 {1}개의 도구를 등록했습니다,[{0}] 已为 {2} 注册 {1} 个工具,[{0}] Se registraron {1} herramientas para {2},[{0}] {1} Tools für {2} registriert,[{0}] {1} outils enregistrés pour {2},[{0}] Mendaftarkan {1} alat untuk {2}
log_mcp_restore_owner_not_found,[{0}] Cannot restore {1}: owner not found,[{0}] {1} を復元できません: オーナーが見つかりません,[{0}] {1}을(를) 복원할 수 없습니다: 소유자를 찾을 수 없습니다,[{0}] 无法恢复 {1}：未找到所有者,[{0}] No se puede restaurar {1}: propietario no encontrado,[{0}] {1} kann nicht wiederhergestellt werden: Owner nicht gefunden,[{0}] Impossible de restaurer {1} : propriétaire introuvable,[{0}] Tidak dapat memulihkan {1}: pemilik tidak ditemukan
log_mcp_config_owner_null,[{0}] Config and owner cannot be null,[{0}] 設定とオーナーは null にできません,[{0}] 구성과 소유자는 null일 수 없습니다,[{0}] 配置和所有者不能为 null,[{0}] La configuración y el propietario no pueden ser nulos,[{0}] Konfiguration und Owner dürfen nicht null sein,[{0}] La configuration et le propriétaire ne peuvent pas être nuls,[{0}] Konfigurasi dan pemilik tidak boleh null
log_mcp_cannot_start_no_owner,[{0}] Cannot start {1}: No saved owner. Please start from the product tab first.,[{0}] {1} を開始できません: 保存されたオーナーがありません。先に Product タブから開始してください。,[{0}] {1}을(를) 시작할 수 없습니다: 저장된 소유자가 없습니다. 먼저 Product 탭에서 시작하세요.,[{0}] 无法启动 {1}：没有已保存的所有者。请先从 Product 选项卡启动。,[{0}] No se puede iniciar {1}: no hay un propietario guardado. Inicia primero desde la pestaña Product.,[{0}] {1} kann nicht gestartet werden: Kein gespeicherter Owner. Bitte zuerst im Product-Tab starten.,[{0}] Impossible de démarrer {1} : aucun propriétaire enregistré. Veuillez d’abord démarrer depuis l’onglet Product.,[{0}] Tidak dapat memulai {1}: Tidak ada pemilik tersimpan. Silakan mulai dari tab produk terlebih dahulu.
label_reload_localization,Reload Localization,ローカリゼーションを再読み込み,로컬라이제이션 다시 로드,重新加载本地化,Recargar Localización,Lokalisierung neu laden,Recharger la Localisation,Muat Ulang Lokalisasi
tooltip_reload_localization,Force reload the localization CSV without recompiling scripts. Use after adding new keys to the CSV file.,スクリプトを再コンパイルせずにローカリゼーション CSV を強制再読み込みします。CSVファイルに新しいキーを追加した後に使用してください。,스크립트를 재컴파일하지 않고 로컬라이제이션 CSV를 강제 다시 로드합니다. CSV 파일에 새 키를 추가한 후 사용하세요.,强制重新加载本地化 CSV，无需重新编译脚本。在向 CSV 文件添加新键后使用。,Fuerza la recarga del CSV de localización sin recompilar scripts. Úsalo tras añadir nuevas claves al archivo CSV.,Erzwingt das erneute Laden der Lokalisierungs-CSV ohne Skript-Neukompilierung. Verwenden Sie dies nach dem Hinzufügen neuer Schlüssel zur CSV-Datei.,Force le rechargement du CSV de localisation sans recompiler les scripts. Utilisé après l'ajout de nouvelles clés dans le fichier CSV.,Paksa muat ulang CSV lokalisasi tanpa mengkompilasi ulang skrip. Gunakan setelah menambahkan kunci baru ke file CSV.
